id,tstamp,windspeed-2,windspeed-1,windspeed0,solarflux-2,solarflux-1,solarflux0
845.0,965827800,7.63355,7.17917,6.9345,2.43374,1.36245,0.55742
846.0,965828700,7.17917,6.9345,7.21412,1.36245,0.55742,0.36581
847.0,965829600,6.9345,7.21412,7.49374,0.55742,0.36581,0.20903
848.0,965830500,7.21412,7.49374,7.77335,0.36581,0.20903,0.0871
849.0,965831400,7.49374,7.77335,8.05297,0.20903,0.0871,0.0
850.0,965832300,7.77335,8.05297,8.75201,0.0871,0.0,0.0
851.0,965833200,8.05297,8.75201,9.17144,0.0,0.0,0.0
852.0,965834100,8.75201,9.17144,9.31125,0.0,0.0,0.0
853.0,965835000,9.17144,9.31125,9.17144,0.0,0.0,0.0
854.0,965835900,9.31125,9.17144,7.91316,0.0,0.0,0.0
855.0,965836800,9.17144,7.91316,6.9345,0.0,0.0,0.0
856.0,965837700,7.91316,6.9345,6.23546,0.0,0.0,0.0
857.0,965838600,6.9345,6.23546,5.81603,0.0,0.0,0.0
858.0,965839500,6.23546,5.81603,6.30536,0.0,0.0,0.0
859.0,965840400,5.81603,6.30536,6.65489,0.0,0.0,0.0
860.0,965841300,6.30536,6.65489,6.8646,0.0,0.0,0.0
861.0,965842200,6.65489,6.8646,6.9345,0.0,0.0,0.0
862.0,965843100,6.8646,6.9345,6.65489,0.0,0.0,0.0
863.0,965844000,6.9345,6.65489,6.37527,0.0,0.0,0.0
864.0,965844900,6.65489,6.37527,6.09565,0.0,0.0,0.0
865.0,965845800,6.37527,6.09565,5.81603,0.0,0.0,0.0
866.0,965846700,6.09565,5.81603,5.3267,0.0,0.0,0.0
867.0,965847600,5.81603,5.3267,4.97718,0.0,0.0,0.0
868.0,965848500,5.3267,4.97718,4.76747,0.0,0.0,0.0
869.0,965849400,4.97718,4.76747,4.69757,0.0,0.0,0.0
870.0,965850300,4.76747,4.69757,5.1869,0.0,0.0,0.0
871.0,965851200,4.69757,5.1869,5.53642,0.0,0.0,0.0
872.0,965852100,5.1869,5.53642,5.74613,0.0,0.0,0.0
873.0,965853000,5.53642,5.74613,5.81603,0.0,0.0,0.0
874.0,965853900,5.74613,5.81603,5.22185,0.0,0.0,0.0
875.0,965854800,5.81603,5.22185,4.83737,0.0,0.0,0.0
876.0,965855700,5.22185,4.83737,4.66261,0.0,0.0,0.0
877.0,965856600,4.83737,4.66261,4.69757,0.0,0.0,0.0
878.0,965857500,4.66261,4.69757,5.36166,0.0,0.0,0.0
879.0,965858400,4.69757,5.36166,5.95584,0.0,0.0,0.0
880.0,965859300,5.36166,5.95584,6.48012,0.0,0.0,0.0
881.0,965860200,5.95584,6.48012,6.9345,0.0,0.0,0.0
882.0,965861100,6.48012,6.9345,7.42383,0.0,0.0,0.36395
883.0,965862000,6.9345,7.42383,7.77335,0.0,0.36395,0.90808
884.0,965862900,7.42383,7.77335,7.98307,0.36395,0.90808,1.6324
885.0,965863800,7.77335,7.98307,8.05297,0.90808,1.6324,2.53692
886.0,965864700,7.98307,8.05297,7.56364,1.6324,2.53692,3.43098
887.0,965865600,8.05297,7.56364,7.21412,2.53692,3.43098,4.63232
888.0,965866500,7.56364,7.21412,7.00441,3.43098,4.63232,6.14095
889.0,965867400,7.21412,7.00441,6.9345,4.63232,6.14095,7.95685
890.0,965868300,7.00441,6.9345,6.98344,6.14095,7.95685,10.9385
891.0,965869200,6.9345,6.98344,7.18616,7.95685,10.9385,13.6552
892.0,965870100,6.98344,7.18616,7.54267,10.9385,13.6552,16.1068
893.0,965871000,7.18616,7.54267,8.05297,13.6552,16.1068,18.2933
894.0,965871900,7.54267,8.05297,9.72368,16.1068,18.2933,19.0434
895.0,965872800,8.05297,9.72368,10.8771,18.2933,19.0434,20.3093
896.0,965873700,9.72368,10.8771,11.5132,19.0434,20.3093,22.0911
897.0,965874600,10.8771,11.5132,11.6321,20.3093,22.0911,24.3887
898.0,965875500,11.5132,11.6321,9.80757,22.0911,24.3887,28.2166
899.0,965876400,11.6321,9.80757,8.41647,24.3887,28.2166,31.8839
900.0,965877300,9.80757,8.41647,7.45878,28.2166,31.8839,35.3909
901.0,965878200,8.41647,7.45878,6.9345,31.8839,35.3909,38.7374
902.0,965879100,7.45878,6.9345,7.59859,35.3909,38.7374,40.5728
903.0,965880000,6.9345,7.59859,8.19278,38.7374,40.5728,43.1482
904.0,965880900,7.59859,8.19278,8.71706,40.5728,43.1482,46.4635
905.0,965881800,8.19278,8.71706,9.17144,43.1482,46.4635,50.5187
906.0,965882700,8.71706,9.17144,9.76563,46.4635,50.5187,58.0606
907.0,965883600,9.17144,9.76563,10.1501,50.5187,58.0606,64.5112
908.0,965884500,9.76563,10.1501,10.3249,58.0606,64.5112,69.8706
909.0,965885400,10.1501,10.3249,10.2899,64.5112,69.8706,74.1387
910.0,965886300,10.3249,10.2899,9.4161,69.8706,74.1387,76.6218
911.0,965887200,10.2899,9.4161,8.75201,74.1387,76.6218,78.4762
912.0,965888100,9.4161,8.75201,8.29764,76.6218,78.4762,79.7016
913.0,965889000,8.75201,8.29764,8.05297,78.4762,79.7016,80.2982
914.0,965889900,8.29764,8.05297,8.5423,79.7016,80.2982,80.5956
915.0,965890800,8.05297,8.5423,8.89182,80.2982,80.5956,80.0443
916.0,965891700,8.5423,8.89182,9.10153,80.5956,80.0443,78.6444
917.0,965892600,8.89182,9.10153,9.17144,80.0443,78.6444,76.3959
918.0,965893500,9.10153,9.17144,8.45142,78.6444,76.3959,71.1542
919.0,965894400,9.17144,8.45142,8.02501,76.3959,71.1542,66.4935
920.0,965895300,8.45142,8.02501,7.89219,71.1542,66.4935,62.4139
921.0,965896200,8.02501,7.89219,8.05297,66.4935,62.4139,58.9152
922.0,965897100,7.89219,8.05297,10.0592,62.4139,58.9152,57.9879
923.0,965898000,8.05297,10.0592,11.3245,58.9152,57.9879,56.3146
924.0,965898900,10.0592,11.3245,11.8488,57.9879,56.3146,53.8956
925.0,965899800,11.3245,11.8488,11.6321,56.3146,53.8956,50.7306
926.0,965900700,11.8488,11.6321,8.34657,53.8956,50.7306,45.0923
927.0,965901600,11.6321,8.34657,5.87196,50.7306,45.0923,39.8598
928.0,965902500,8.34657,5.87196,4.20824,45.0923,39.8598,35.0331
929.0,965903400,5.87196,4.20824,3.3554,39.8598,35.0331,30.6123
930.0,965904300,4.20824,3.3554,5.07505,35.0331,30.6123,27.0454
931.0,965905200,3.3554,5.07505,6.43119,30.6123,27.0454,23.5855
932.0,965906100,5.07505,6.43119,7.42383,27.0454,23.5855,20.2328
933.0,965907000,6.43119,7.42383,8.05297,23.5855,20.2328,16.9872
934.0,965907900,7.42383,8.05297,7.6685,20.2328,16.9872,13.3686
